id,name,state,rainfall,rank,deviation,mean_rainfall,
TX-259,Kendall County,Texas,17.14,8,-13.98,31.12,
TX-261,Kenedy County,Texas,21.93,54,-3.62,25.55,
TX-263,Kent County,Texas,10.42,3,-10.38,20.8,
TX-265,Kerr County,Texas,15.98,8,-12.52,28.5,
TX-267,Kimble County,Texas,15.68,13,-9.96,25.64,
TX-269,King County,Texas,12.14,3,-10.52,22.66,
TX-271,Kinney County,Texas,15.22,29,-6.26,21.48,
TX-273,Kleberg County,Texas,18.25,23,-8.57,26.82,
TX-275,Knox County,Texas,13.8,3,-10.29,24.09,
TX-277,Lamar County,Texas,34.64,23,-9.53,44.17,
TX-279,Lamb County,Texas,11.87,9,-6.58,18.45,
TX-281,Lampasas County,Texas,17.21,7,-12.23,29.44,
TX-283,La Salle County,Texas,16.38,24,-5.74,22.12,
TX-285,Lavaca County,Texas,29.23,27,-8.39,37.62,
TX-287,Lee County,Texas,28.08,34,-8.06,36.14,
TX-289,Leon County,Texas,33.62,32,-6.95,40.57,
TX-291,Liberty County,Texas,45.95,48,-3.6,49.55,
TX-293,Limestone County,Texas,26.26,14,-10.97,37.23,
TX-295,Lipscomb County,Texas,17.74,28,-4.13,21.87,
TX-297,Live Oak County,Texas,17.37,16,-9.49,26.86,
TX-299,Llano County,Texas,17.71,9,-10.59,28.3,
TX-301,Loving County,Texas,7.41,22,-4.13,11.54,
TX-303,Lubbock County,Texas,11.03,3,-7.91,18.94,
TX-305,Lynn County,Texas,8.76,3,-9.81,18.57,
TX-307,McCulloch County,Texas,18.84,17,-6.75,25.59,
TX-309,McLennan County,Texas,19.61,6,-14,33.61,
TX-311,McMullen County,Texas,15.08,14,-8.76,23.84,
TX-313,Madison County,Texas,32.8,25,-8.43,41.23,
TX-315,Marion County,Texas,37.57,26,-9.36,46.93,
TX-317,Martin County,Texas,6.25,2,-10.39,16.64,
TX-319,Mason County,Texas,17.26,13,-9.37,26.63,
TX-321,Matagorda County,Texas,31.57,26,-10.67,42.24,
TX-323,Maverick County,Texas,14.42,31,-5.91,20.33,
TX-325,Medina County,Texas,13.22,5,-14.26,27.48,
TX-327,Menard County,Texas,15.01,10,-10.23,25.24,
TX-329,Midland County,Texas,5.95,2,-9.46,15.41,
TX-331,Milam County,Texas,27.03,29,-7.77,34.8,
TX-333,Mills County,Texas,15.4,5,-12.64,28.04,
TX-335,Mitchell County,Texas,8.49,2,-12.02,20.51,
TX-337,Montague County,Texas,28.53,43,-3.83,32.36,
TX-339,Montgomery County,Texas,41.8,49,-4.04,45.84,
TX-341,Moore County,Texas,10.78,5,-7.73,18.51,
TX-343,Morris County,Texas,34.45,22,-11.33,45.78,
TX-345,Motley County,Texas,13.41,4,-8.05,21.46,
TX-347,Nacogdoches County,Texas,38.68,23,-8.79,47.47,
TX-349,Navarro County,Texas,26.66,15,-10.87,37.53,
TX-351,Newton County,Texas,43.16,16,-12.22,55.38,
TX-353,Nolan County,Texas,10.56,3,-12.5,23.06,
TX-355,Nueces County,Texas,23.11,35,-5.57,28.68,
TX-357,Ochiltree County,Texas,14.25,14,-6.21,20.46,
TX-359,Oldham County,Texas,9.78,4,-7.92,17.7,
TX-361,Orange County,Texas,50.43,44,-4.46,54.89,
TX-363,Palo Pinto County,Texas,17.93,4,-11.48,29.41,
TX-365,Panola County,Texas,39.51,26,-8.06,47.57,
TX-367,Parker County,Texas,19.13,4,-12.65,31.78,
TX-369,Parmer County,Texas,10.02,3,-7.71,17.73,
TX-371,Pecos County,Texas,6.76,7,-6.7,13.46,
TX-373,Polk County,Texas,39.68,21,-9.99,49.67,
TX-375,Potter County,Texas,11.27,4,-7.7,18.97,
TX-377,Presidio County,Texas,11.15,44,-2.22,13.37,
TX-379,Rains County,Texas,31.94,22,-9.1,41.04,
TX-381,Randall County,Texas,12.02,8,-7.64,19.66,
TX-383,Reagan County,Texas,6.02,2,-11.48,17.5,
TX-385,Real County,Texas,13.42,3,-13.5,26.92,
TX-387,Red River County,Texas,36.62,22,-9.54,46.16,
TX-389,Reeves County,Texas,8.7,35,-2.81,11.51,
TX-391,Refugio County,Texas,28.53,43,-5.17,33.7,
TX-393,Roberts County,Texas,15.83,21,-5.13,20.96,
TX-395,Robertson County,Texas,29.52,25,-7.92,37.44,
TX-397,Rockwall County,Texas,25.74,9,-13.24,38.98,
TX-399,Runnels County,Texas,13.49,6,-10.32,23.81,
TX-401,Rusk County,Texas,35.34,20,-10.23,45.57,
TX-403,Sabine County,Texas,40.09,15,-11.89,51.98,
TX-405,San Augustine County,Texas,39.87,16,-10.7,50.57,
TX-407,San Jacinto County,Texas,42.47,44,-5.21,47.68,
TX-409,San Patricio County,Texas,26.36,50,-4.21,30.57,
TX-411,San Saba County,Texas,18.39,12,-9.17,27.56,
TX-413,Schleicher County,Texas,12.18,7,-9.83,22.01,
TX-415,Scurry County,Texas,10.57,4,-9.99,20.56,
TX-417,Shackelford County,Texas,15.79,7,-9.8,25.59,
TX-419,Shelby County,Texas,41.01,28,-8.03,49.04,
TX-421,Sherman County,Texas,9.33,3,-8.47,17.8,
TX-423,Smith County,Texas,33.29,16,-10.02,43.31,
TX-425,Somervell County,Texas,16.61,1,-14.58,31.19,
TX-427,Starr County,Texas,19.42,65,-0.71,20.13,
TX-429,Stephens County,Texas,18.87,15,-7.98,26.85,
TX-431,Sterling County,Texas,7.18,2,-12.92,20.1,
TX-433,Stonewall County,Texas,11.39,4,-10.94,22.33,
TX-435,Sutton County,Texas,13.31,10,-9.17,22.48,
TX-437,Swisher County,Texas,12.26,7,-7.62,19.88,
TX-439,Tarrant County,Texas,25.08,19,-8.39,33.47,
TX-441,Taylor County,Texas,13.27,6,-10.88,24.15,
TX-443,Terrell County,Texas,9.87,25,-3.77,13.64,
TX-445,Terry County,Texas,8.41,4,-9.03,17.44,
TX-447,Throckmorton County,Texas,18.3,16,-7.78,26.08,
TX-449,Titus County,Texas,33.76,20,-11.28,45.04,
TX-451,Tom Green County,Texas,11.31,6,-10.62,21.93,
TX-453,Travis County,Texas,26.1,38,-6.55,32.65,
TX-455,Trinity County,Texas,35.84,16,-10.82,46.66,
TX-457,Tyler County,Texas,41.73,19,-10.37,52.1,
TX-459,Upshur County,Texas,35.23,25,-9.17,44.4,
TX-461,Upton County,Texas,5.18,2,-9.88,15.06,
TX-463,Uvalde County,Texas,13.12,7,-12.28,25.4,
TX-465,Val Verde County,Texas,10.91,11,-7.12,18.03,
TX-467,Van Zandt County,Texas,30.31,14,-10.92,41.23,
TX-469,Victoria County,Texas,27.58,26,-9,36.58,
TX-471,Walker County,Texas,36.48,28,-7.3,43.78,
TX-473,Waller County,Texas,30.56,15,-11.52,42.08,
TX-475,Ward County,Texas,5.62,8,-5.98,11.6,
TX-477,Washington County,Texas,29.85,23,-9.09,38.94,
TX-479,Webb County,Texas,17.52,46,-3.05,20.57,
TX-481,Wharton County,Texas,32.65,27,-8.78,41.43,
TX-483,Wheeler County,Texas,17.04,16,-6.33,23.37,
TX-485,Wichita County,Texas,18.05,8,-10.08,28.13,
TX-487,Wilbarger County,Texas,18.88,18,-7.1,25.98,
TX-489,Willacy County,Texas,27.28,84,2.25,25.03,
TX-491,Williamson County,Texas,25.46,32,-7.43,32.89,
TX-493,Wilson County,Texas,19.67,15,-10.1,29.77,
TX-495,Winkler County,Texas,6.37,11,-6.04,12.41,
TX-497,Wise County,Texas,24.49,24,-7.77,32.26,
TX-499,Wood County,Texas,33.24,25,-9.1,42.34,
TX-501,Yoakum County,Texas,7.95,3,-8.87,16.82,
TX-503,Young County,Texas,20.24,18,-7.48,27.72,
TX-505,Zapata County,Texas,18.1,58,-0.79,18.89,
TX-507,Zavala County,Texas,14.44,17,-7.73,22.17,
UT-001,Beaver County,Utah,11.35,48,-1.22,12.57,
UT-003,Box Elder County,Utah,9.8,33,-2.21,12.01,
UT-005,Cache County,Utah,24.56,41,-3.39,27.95,
UT-007,Carbon County,Utah,12.21,35,-2.52,14.73,
UT-009,Daggett County,Utah,15.25,70,0.15,15.1,
UT-011,Davis County,Utah,21.8,38,-3.54,25.34,
UT-013,Duchesne County,Utah,15.66,42,-2.1,17.76,
UT-015,Emery County,Utah,7.82,40,-1.58,9.4,
UT-017,Garfield County,Utah,10.27,28,-2.76,13.03,
UT-019,Grand County,Utah,10.7,49,-1.2,11.9,
UT-021,Iron County,Utah,12.81,44,-1.74,14.55,
UT-023,Juab County,Utah,9.43,29,-2.27,11.7,
UT-025,Kane County,Utah,9.7,31,-2.46,12.16,
UT-027,Millard County,Utah,8.49,38,-1.36,9.85,
UT-029,Morgan County,Utah,23.04,46,-2.99,26.03,
UT-031,Piute County,Utah,14.44,35,-2.52,16.96,
UT-033,Rich County,Utah,15.83,59,-0.9,16.73,
UT-035,Salt Lake County,Utah,19.65,47,-2.46,22.11,
UT-037,San Juan County,Utah,8.59,38,-2.09,10.68,
UT-039,Sanpete County,Utah,17.5,45,-2.02,19.52,
UT-041,Sevier County,Utah,13.64,34,-2.66,16.3,
UT-043,Summit County,Utah,24.96,52,-1.94,26.9,
UT-045,Tooele County,Utah,8.82,42,-1.4,10.22,
UT-047,Uintah County,Utah,11.07,48,-1.12,12.19,
UT-049,Utah County,Utah,16.87,47,-2.19,19.06,
UT-051,Wasatch County,Utah,22.23,46,-2.85,25.08,
UT-053,Washington County,Utah,12.64,38,-2.48,15.12,
UT-055,Wayne County,Utah,7.54,35,-1.68,9.22,
UT-057,Weber County,Utah,22.07,28,-4.8,26.87,
VT-001,Addison County,Vermont,39.31,76,1.04,38.27,
VT-003,Bennington County,Vermont,50.75,103,5.1,45.65,
VT-005,Caledonia County,Vermont,38.31,45,-2.09,40.4,
VT-007,Chittenden County,Vermont,38.12,65,-0.22,38.34,
VT-009,Essex County,Vermont,43.32,74,1.39,41.93,
VT-011,Franklin County,Vermont,42.63,69,0.87,41.76,
VT-013,Grand Isle County,Vermont,44.19,124,9.47,34.72,
VT-015,Lamoille County,Vermont,42.19,50,-1.42,43.61,
VT-017,Orange County,Vermont,36.22,37,-3.15,39.37,
VT-019,Orleans County,Vermont,46.12,83,2.57,43.55,
VT-021,Rutland County,Vermont,44.76,91,3.61,41.15,
VT-023,Washington County,Vermont,37.51,38,-2.99,40.5,
VT-025,Windham County,Vermont,48.93,76,2.74,46.19,
VT-027,Windsor County,Vermont,42.7,68,0.77,41.93,
VA-001,Accomack County,Virginia,35.5,15,-6.33,41.83,
VA-003,Albemarle County,Virginia,43.27,66,0.76,42.51,
VA-005,Alleghany County,Virginia,42.02,75,1.93,40.09,
VA-007,Amelia County,Virginia,37.46,25,-5.65,43.11,
VA-009,Amherst County,Virginia,43.72,54,-0.97,44.69,
VA-011,Appomattox County,Virginia,38.45,38,-3.64,42.09,
VA-013,Arlington County,Virginia,42.27,68,0.58,41.69,
VA-015,Augusta County,Virginia,40.38,57,0.2,40.18,
VA-017,Bath County,Virginia,43.27,69,1.57,41.7,
VA-019,Bedford County,Virginia,42.29,55,-1.17,43.46,
VA-021,Bland County,Virginia,44.99,93,3.88,41.11,
VA-023,Botetourt County,Virginia,43.11,71,1.64,41.47,
VA-025,Brunswick County,Virginia,36.48,11,-7.86,44.34,
VA-027,Buchanan County,Virginia,52.74,111,7.99,44.75,
VA-029,Buckingham County,Virginia,39.11,41,-3.4,42.51,
VA-031,Campbell County,Virginia,36.81,34,-5.29,42.1,
VA-033,Caroline County,Virginia,38.18,32,-4.55,42.73,
VA-035,Carroll County,Virginia,49.76,88,3.91,45.85,
VA-036,Charles City County,Virginia,40.14,35,-3.52,43.66,
VA-037,Charlotte County,Virginia,38.5,39,-4.02,42.52,
VA-041,Chesterfield County,Virginia,37.82,26,-5.39,43.21,
VA-043,Clarke County,Virginia,40.97,84,2.98,37.99,
VA-045,Craig County,Virginia,43.31,76,2.16,41.15,
VA-047,Culpeper County,Virginia,39.79,56,-0.91,40.7,
VA-049,Cumberland County,Virginia,39.33,45,-3.45,42.78,
VA-051,Dickenson County,Virginia,51.15,112,7.13,44.02,
VA-053,Dinwiddie County,Virginia,37.25,19,-6.44,43.69,
VA-057,Essex County,Virginia,36.53,18,-6.58,43.11,
VA-059,Fairfax County,Virginia,40.4,61,-0.64,41.04,
VA-061,Fauquier County,Virginia,39.93,64,-0.24,40.17,
VA-063,Floyd County,Virginia,47.94,85,2.85,45.09,
VA-065,Fluvanna County,Virginia,43.61,67,1.24,42.37,
VA-067,Franklin County,Virginia,44.6,71,1.2,43.4,
VA-069,Frederick County,Virginia,39.61,80,2.7,36.91,
VA-071,Giles County,Virginia,40.32,60,-0.51,40.83,
VA-073,Gloucester County,Virginia,39.76,33,-4.43,44.19,
VA-075,Goochland County,Virginia,41.56,62,-1.22,42.78,
VA-077,Grayson County,Virginia,46.21,65,0.64,45.57,
VA-079,Greene County,Virginia,43.56,69,0.77,42.79,
VA-081,Greensville County,Virginia,35.63,6,-9.15,44.78,
VA-083,Halifax County,Virginia,39.81,45,-3.25,43.06,
VA-085,Hanover County,Virginia,39.67,40,-3.43,43.1,
VA-087,Henrico County,Virginia,39.35,39,-3.83,43.18,
VA-089,Henry County,Virginia,46.76,76,1.68,45.08,
VA-091,Highland County,Virginia,44.74,61,0.92,43.82,
VA-093,Isle of Wight County,Virginia,41.39,30,-4.75,46.14,
VA-095,James City County,Virginia,41.04,36,-3.4,44.44,
VA-097,King and Queen County,Virginia,37.71,23,-6.05,43.76,
VA-099,King George County,Virginia,36.95,30,-4.93,41.88,
VA-101,King William County,Virginia,38.3,29,-5.23,43.53,
VA-103,Lancaster County,Virginia,37.18,17,-6.46,43.64,
VA-105,Lee County,Virginia,54.46,91,4.14,50.32,
VA-107,Loudoun County,Virginia,38.78,57,-1.29,40.07,
VA-109,Louisa County,Virginia,43.36,71,0.52,42.84,
VA-111,Lunenburg County,Virginia,38.47,31,-4.74,43.21,
VA-113,Madison County,Virginia,42.57,72,0.71,41.86,
VA-115,Mathews County,Virginia,39.02,28,-4.72,43.74,
VA-117,Mecklenburg County,Virginia,39.21,37,-4.56,43.77,
VA-119,Middlesex County,Virginia,37.93,23,-5.91,43.84,
VA-121,Montgomery County,Virginia,41.15,70,0.84,40.31,
VA-125,Nelson County,Virginia,43.52,54,-0.79,44.31,
VA-127,New Kent County,Virginia,39.33,31,-4.56,43.89,
VA-131,Northampton County,Virginia,36.58,24,-5.76,42.34,
VA-133,Northumberland County,Virginia,36.98,18,-6.06,43.04,
VA-135,Nottoway County,Virginia,37.77,28,-5.47,43.24,
VA-137,Orange County,Virginia,41.42,64,-0.55,41.97,
VA-139,Page County,Virginia,42.14,81,2.65,39.49,
VA-141,Patrick County,Virginia,54.72,93,5.14,49.58,
VA-143,Pittsylvania County,Virginia,37.82,30,-5.31,43.13,
VA-145,Powhatan County,Virginia,39.07,39,-3.8,42.87,
VA-147,Prince Edward County,Virginia,38.33,37,-4.32,42.65,
VA-149,Prince George County,Virginia,39.88,36,-3.74,43.62,
VA-153,Prince William County,Virginia,37.28,41,-3.28,40.56,
VA-155,Pulaski County,Virginia,41.8,81,2.07,39.73,
VA-157,Rappahannock County,Virginia,42.25,81,2.86,39.39,
VA-159,Richmond County,Virginia,35.99,15,-7.12,43.11,
VA-161,Roanoke County,Virginia,43.87,82,2.06,41.81,
VA-163,Rockbridge County,Virginia,43.29,70,1.84,41.45,
VA-165,Rockingham County,Virginia,41.13,77,2.04,39.09,
VA-167,Russell County,Virginia,51.6,112,7,44.6,
VA-169,Scott County,Virginia,50.5,89,3.45,47.05,
VA-171,Shenandoah County,Virginia,39.48,89,3.25,36.23,
VA-173,Smyth County,Virginia,49.55,97,4.63,44.92,
VA-175,Southampton County,Virginia,40.09,18,-6.1,46.19,
VA-177,Spotsylvania County,Virginia,40.42,50,-2.05,42.47,
VA-179,Stafford County,Virginia,34.83,26,-6.54,41.37,
VA-181,Surry County,Virginia,41.91,43,-2.68,44.59,
VA-183,Sussex County,Virginia,39.48,28,-5.17,44.65,
VA-185,Tazewell County,Virginia,51.95,108,6.62,45.33,
VA-187,Warren County,Virginia,42.62,102,5.66,36.96,
VA-191,Washington County,Virginia,49.01,93,4.27,44.74,
VA-193,Westmoreland County,Virginia,37.68,30,-4.76,42.44,
VA-195,Wise County,Virginia,54.25,114,6.72,47.53,
VA-197,Wythe County,Virginia,43.27,86,3.03,40.24,
VA-199,York County,Virginia,40.48,31,-4.03,44.51,
VA-510,Alexandria City,Virginia,42.11,71,0.66,41.45,
VA-520,Bristol City,Virginia,46.05,75,1.51,44.54,
VA-530,Buena Vista City,Virginia,42.8,67,1.18,41.62,
VA-540,Charlottesville City,Virginia,43.88,67,0.93,42.95,
VA-550,Chesapeake City,Virginia,38.5,16,-8.16,46.66,
VA-570,Colonial Heights City,Virginia,38.27,32,-4.81,43.08,
VA-580,Covington City,Virginia,40.64,75,2.04,38.6,
VA-590,Danville City,Virginia,37.76,31,-5.33,43.09,
VA-595,Emporia City,Virginia,34.87,6,-9.84,44.71,
VA-600,Fairfax City,Virginia,41.67,69,0.36,41.31,
VA-610,Falls Church City,Virginia,42.44,70,0.59,41.85,
VA-620,Franklin City,Virginia,41.61,25,-5.48,47.09,
VA-630,Fredericksburg City,Virginia,35.83,30,-5.95,41.78,
VA-640,Galax City,Virginia,46.33,78,1.97,44.36,
VA-650,Hampton City,Virginia,38.19,25,-6.25,44.44,
VA-660,Harrisonburg City,Virginia,39.62,78,1.84,37.78,
VA-670,Hopewell City,Virginia,39.12,34,-4.14,43.26,
VA-680,Lynchburg City,Virginia,39.28,43,-3.16,42.44,
VA-683,Manassas City,Virginia,37.72,51,-2.38,40.1,
VA-685,Manassas Park City,Virginia,38.22,54,-2.12,40.34,
VA-690,Martinsville City,Virginia,47.82,83,3,44.82,
VA-700,Newport News City,Virginia,39.68,25,-5.32,45,
VA-710,Norfolk City,Virginia,36.76,14,-8.29,45.05,
VA-720,Norton City,Virginia,54.04,113,7.09,46.95,
VA-730,Petersburg City,Virginia,38.42,30,-4.95,43.37,
VA-735,Poquoson City,Virginia,38.35,28,-5.61,43.96,
VA-740,Portsmouth City,Virginia,37.76,14,-8.01,45.77,
VA-750,Radford City,Virginia,39.47,63,0.21,39.26,
VA-760,Richmond City,Virginia,38.97,39,-4.12,43.09,
VA-770,Roanoke City,Virginia,42.9,78,1.68,41.22,
VA-775,Salem City,Virginia,42.8,77,1.83,40.97,
VA-790,Staunton City,Virginia,36.65,55,-0.79,37.44,
VA-800,Suffolk City,Virginia,40.55,21,-6.77,47.32,
VA-810,Virginia Beach City,Virginia,36.91,15,-8.45,45.36,
VA-820,Waynesboro City,Virginia,39.68,55,0.37,39.31,
VA-830,Williamsburg City,Virginia,42,43,-2.66,44.66,
VA-840,Winchester City,Virginia,40.9,86,3.54,37.36,
WA-001,Adams County,Washington,12.14,96,1.3,10.84,
WA-003,Asotin County,Washington,20.27,114,3.03,17.24,
WA-005,Benton County,Washington,10.46,110,2.32,8.14,
WA-007,Chelan County,Washington,42.18,101,4.99,37.19,
WA-009,Clallam County,Washington,111.88,124,23.79,88.09,
WA-011,Clark County,Washington,76.47,113,10.65,65.82,
WA-013,Columbia County,Washington,32.09,114,5.29,26.8,
WA-015,Cowlitz County,Washington,91.29,115,14.69,76.6,
WA-017,Douglas County,Washington,11.26,66,-0.16,11.42,
WA-019,Ferry County,Washington,20.31,80,1.32,18.99,
WA-021,Franklin County,Washington,11.26,110,2.15,9.11,
WA-023,Garfield County,Washington,24.4,118,4.89,19.51,
WA-025,Grant County,Washington,7.86,58,-0.43,8.29,
WA-027,Grays Harbor County,Washington,115.33,118,20.01,95.32,
WA-029,Island County,Washington,31.95,119,5.91,26.04,
WA-031,Jefferson County,Washington,134.94,123,27.38,107.56,
WA-033,King County,Washington,87.24,112,14.33,72.91,
WA-035,Kitsap County,Washington,52.77,116,10.63,42.14,
WA-037,Kittitas County,Washington,34.87,79,1.7,33.17,
WA-039,Klickitat County,Washington,23.61,85,1.09,22.52,
WA-041,Lewis County,Washington,87.42,116,15.31,72.11,
WA-043,Lincoln County,Washington,13.21,70,0.2,13.01,
WA-045,Mason County,Washington,112.64,122,24.4,88.24,
WA-047,Okanogan County,Washington,25.03,95,2.36,22.67,
WA-049,Pacific County,Washington,102.15,105,12.3,89.85,
WA-051,Pend Oreille County,Washington,35.71,78,1.68,34.03,
WA-053,Pierce County,Washington,76.75,117,13.12,63.63,
WA-055,San Juan County,Washington,38.71,127,10.31,28.4,
WA-057,Skagit County,Washington,97.43,123,20.98,76.45,
WA-059,Skamania County,Washington,107.12,111,16.29,90.83,
WA-061,Snohomish County,Washington,100.26,119,19.12,81.14,
WA-063,Spokane County,Washington,21.5,89,1.42,20.08,
WA-065,Stevens County,Washington,23.38,74,0.68,22.7,
WA-067,Thurston County,Washington,62.14,120,11.52,50.62,
WA-069,Wahkiakum County,Washington,85.34,73,2.22,83.12,
WA-071,Walla Walla County,Washington,18.4,119,3.68,14.72,
WA-073,Whatcom County,Washington,90.4,124,22.08,68.32,
WA-075,Whitman County,Washington,21.06,115,3.73,17.33,
WA-077,Yakima County,Washington,29.19,97,3.06,26.13,
WV-001,Barbour County,West Virginia,52.57,99,4.91,47.66,
WV-003,Berkeley County,West Virginia,37.87,67,0.14,37.73,
WV-005,Boone County,West Virginia,52.46,110,6.45,46.01,
WV-007,Braxton County,West Virginia,52.66,102,5.94,46.72,
WV-009,Brooke County,West Virginia,47.63,116,8.16,39.47,
WV-011,Cabell County,West Virginia,49.33,111,6.73,42.6,
WV-013,Calhoun County,West Virginia,51.23,98,6.26,44.97,
WV-015,Clay County,West Virginia,54.12,111,7.82,46.3,
WV-017,Doddridge County,West Virginia,51.93,103,6.53,45.4,
WV-019,Fayette County,West Virginia,53.02,107,6.2,46.82,
WV-021,Gilmer County,West Virginia,49.66,89,3.78,45.88,
WV-023,Grant County,West Virginia,39.28,72,1.03,38.25,
WV-025,Greenbrier County,West Virginia,48.73,95,4.22,44.51,
WV-027,Hampshire County,West Virginia,36.53,59,0.04,36.49,
WV-029,Hancock County,West Virginia,48.05,122,9.84,38.21,
WV-031,Hardy County,West Virginia,38.35,69,0.81,37.54,
WV-033,Harrison County,West Virginia,51.45,108,6.96,44.49,
WV-035,Jackson County,West Virginia,51.26,115,8.63,42.63,
WV-037,Jefferson County,West Virginia,39.66,75,1.02,38.64,
WV-039,Kanawha County,West Virginia,54.12,118,9.15,44.97,
WV-041,Lewis County,West Virginia,51.59,94,4.43,47.16,
WV-043,Lincoln County,West Virginia,50.17,110,6.04,44.13,
WV-045,Logan County,West Virginia,52.77,105,6.45,46.32,
WV-047,McDowell County,West Virginia,51.1,110,6.51,44.59,
WV-049,Marion County,West Virginia,47.53,92,3.72,43.81,
WV-051,Marshall County,West Virginia,52.98,120,10.16,42.82,
WV-053,Mason County,West Virginia,50.1,117,8.55,41.55,
WV-055,Mercer County,West Virginia,43.03,76,1.74,41.29,
WV-057,Mineral County,West Virginia,35.1,54,-1.03,36.13,
WV-059,Mingo County,West Virginia,52.85,111,7.38,45.47,
WV-061,Monongalia County,West Virginia,46.16,84,2.55,43.61,
WV-063,Monroe County,West Virginia,41.92,75,1.33,40.59,
WV-065,Morgan County,West Virginia,35.9,57,-1.25,37.15,
WV-067,Nicholas County,West Virginia,57.19,109,8.01,49.18,
WV-069,Ohio County,West Virginia,49.3,115,8.57,40.73,
WV-071,Pendleton County,West Virginia,43.1,93,3.83,39.27,
WV-073,Pleasants County,West Virginia,46.09,80,3.06,43.03,
WV-075,Pocahontas County,West Virginia,49.75,66,0.73,49.02,
WV-077,Preston County,West Virginia,50.38,72,1.15,49.23,
WV-079,Putnam County,West Virginia,49.52,114,6.36,43.16,
WV-081,Raleigh County,West Virginia,48.38,87,2.99,45.39,
WV-083,Randolph County,West Virginia,58.64,100,4.97,53.67,
WV-085,Ritchie County,West Virginia,48.24,84,3.81,44.43,
WV-087,Roane County,West Virginia,53.58,119,9.53,44.05,
WV-089,Summers County,West Virginia,41.48,67,1.05,40.43,
WV-091,Taylor County,West Virginia,48.69,91,3.74,44.95,
WV-093,Tucker County,West Virginia,53.72,78,3.12,50.6,
WV-095,Tyler County,West Virginia,48.72,94,4.73,43.99,
WV-097,Upshur County,West Virginia,54.73,85,3.32,51.41,
WV-099,Wayne County,West Virginia,49.85,101,5.98,43.87,
WV-101,Webster County,West Virginia,59.79,97,5.09,54.7,
WV-103,Wetzel County,West Virginia,52.01,107,7.12,44.89,
WV-105,Wirt County,West Virginia,50.22,104,6.82,43.4,
WV-107,Wood County,West Virginia,46.46,95,4.96,41.5,
WV-109,Wyoming County,West Virginia,51.41,96,4.69,46.72,
WI-001,Adams County,Wisconsin,28.89,33,-2.65,31.54,
WI-003,Ashland County,Wisconsin,29.72,41,-2.16,31.88,
WI-005,Barron County,Wisconsin,29.22,45,-2,31.22,
WI-007,Bayfield County,Wisconsin,28.61,47,-1.49,30.1,
WI-009,Brown County,Wisconsin,31.34,81,1.42,29.92,
WI-011,Buffalo County,Wisconsin,30.88,52,-0.37,31.25,
WI-013,Burnett County,Wisconsin,30.68,70,0.96,29.72,
WI-015,Calumet County,Wisconsin,30.21,64,0.05,30.16,
WI-017,Chippewa County,Wisconsin,30.64,48,-1.47,32.11,
WI-019,Clark County,Wisconsin,27.38,21,-4.48,31.86,
WI-021,Columbia County,Wisconsin,29.27,43,-1.91,31.18,
WI-023,Crawford County,Wisconsin,32.79,59,-0.04,32.83,
WI-025,Dane County,Wisconsin,31.57,52,-0.86,32.43,
WI-027,Dodge County,Wisconsin,32.52,75,1.61,30.91,
WI-029,Door County,Wisconsin,31.07,84,1.33,29.74,
WI-031,Douglas County,Wisconsin,27.88,45,-1.76,29.64,
WI-033,Dunn County,Wisconsin,29.38,46,-1.83,31.21,
WI-035,Eau Claire County,Wisconsin,30.23,46,-1.71,31.94,
WI-037,Florence County,Wisconsin,30.4,75,0.89,29.51,
WI-039,Fond du Lac County,Wisconsin,28.9,49,-1.5,30.4,
WI-041,Forest County,Wisconsin,31.76,81,1.23,30.53,
WI-043,Grant County,Wisconsin,33.29,64,0.35,32.94,
WI-045,Green County,Wisconsin,35.03,73,1.45,33.58,
WI-047,Green Lake County,Wisconsin,28.18,35,-2.67,30.85,
WI-049,Iowa County,Wisconsin,29.98,37,-2.74,32.72,
WI-051,Iron County,Wisconsin,34.02,76,0.98,33.04,
WI-053,Jackson County,Wisconsin,29.51,41,-2.27,31.78,
WI-055,Jefferson County,Wisconsin,32.59,64,0.6,31.99,
WI-057,Juneau County,Wisconsin,31.23,56,-0.47,31.7,
WI-059,Kenosha County,Wisconsin,30.89,52,-1.37,32.26,
WI-061,Kewaunee County,Wisconsin,31.69,85,1.83,29.86,
WI-063,La Crosse County,Wisconsin,31.54,58,-0.24,31.78,
WI-065,Lafayette County,Wisconsin,34.75,72,1.09,33.66,
WI-067,Langlade County,Wisconsin,30.13,53,-1.65,31.78,
WI-069,Lincoln County,Wisconsin,29.29,45,-2.08,31.37,
WI-071,Manitowoc County,Wisconsin,30.01,66,0,30.01,
WI-073,Marathon County,Wisconsin,30.01,49,-1.53,31.54,
WI-075,Marinette County,Wisconsin,30.89,81,1.51,29.38,
WI-077,Marquette County,Wisconsin,27.22,30,-3.64,30.86,
WI-078,Menominee County,Wisconsin,29.94,54,-1.12,31.06,
WI-079,Milwaukee County,Wisconsin,30.49,59,-0.51,31,
WI-081,Monroe County,Wisconsin,31.26,55,-0.9,32.16,
WI-083,Oconto County,Wisconsin,31.68,81,1.77,29.91,
WI-085,Oneida County,Wisconsin,31.49,68,0.49,31,
WI-087,Outagamie County,Wisconsin,30.08,56,-0.38,30.46,
WI-089,Ozaukee County,Wisconsin,29.41,56,-0.93,30.34,
WI-091,Pepin County,Wisconsin,28.19,35,-2.64,30.83,
