track,artist,genre,release_date,year,word_count,unique_words
Narcotic,YouNotUs,dance_pop,2019-04-26,2019,279,142
Get Buck,Young Buck,hip_hop,2006-01-01,2006,678,283
1 Scale (feat. G Herbo),Young Dolph,hip_hop,2020-08-14,2020,396,211
Trophies,Young Money,hip_hop,2014-01-01,2014,528,333
Hell Shell,Young Nudy,hip_hop,2017-09-13,2017,556,196
Bubbly (with Drake & Travis Scott),Young Thug,hip_hop,2021-10-15,2021,402,257
Cough Syrup,Young the Giant,rock,2011,2011,284,107
Not So Bad (feat. Emie),Yves V,dance_pop,2020-01-03,2020,364,260
Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN,dance_pop,2018-12-14,2018,448,123
Chicken Fried,Zac Brown Band,country,2008-11-17,2008,379,148
fafo,Zack Fox,hip_hop,2021-10-15,2021,453,238
Ruin My Life,Zara Larsson,dance_pop,2021-03-05,2021,632,96
The Middle,Zedd,dance_pop,2018-01-23,2018,375,120
Replay,Zendaya,dance_pop,2013-01-01,2013,364,109
Candlelight,Zhavia,dance_pop,2018-07-26,2018,291,124
Coastin',Zion I,hip_hop,2009-02-09,2009,411,216
GOOD GRIEF,cleopatrick,rock,2021-06-04,2021,320,136
Cpr,cupcakKe,dance_pop,2017-03-31,2017,613,295
We Are Young (feat. Janelle Monáe),fun.,rock,2012-02-14,2012,358,143
Blood // Water,grandson,rock,2018-05-04,2018,320,113
broken,lovelytheband,rock,2018-08-03,2018,276,97
Doorman,slowthai,hip_hop,2019-05-17,2019,446,282
All The Things She Said,t.A.T.u.,dance_pop,2002,2002,563,147
Wildflower,the JaneDear girls,country,2009,2009,264,107
Bloodstream,twocolors,dance_pop,2021-03-12,2021,314,82
I Like To Move It,will.i.am,dance_pop,2022-02-14,2022,677,177
