"track","artist","genre","total_words","good_words","unique_words"
"Good Times","Styles P","HIP HOP",718,192,119
"The Truth","Handsome Boy Modeling School","HIP HOP",206,50,14
"Grinding All My Life","Nipsey Hussle","HIP HOP",531,211,122
"Dreams, Fairytales, Fantasies (feat. Brent Faiyaz & Salaam Remi)","A$AP Ferg","HIP HOP",562,429,207
"Them That's Not","J-Live","HIP HOP",1104,350,243
"The Way You Do It","Little Brother","HIP HOP",304,130,62
"How Ya Like Me Now","Kool Moe Dee","HIP HOP",22,6,3
"Friends","Whodini","HIP HOP",32,8,4
"Crush on You (feat. Lil' Cease) - Remix","Lil' Kim","HIP HOP",351,530,172
"Dancing In The Rain","Blu","HIP HOP",40,19,12
"Right Thurr","Chingy","HIP HOP",863,570,128
"Brickmile To Montana","Boldy James","HIP HOP",535,236,188
"Still D.R.E.","Dr. Dre","HIP HOP",825,328,185
"We Can Freak It","Kurupt","HIP HOP",418,135,73
"Funkin' Lesson","X-Clan","HIP HOP",6,6,5
"Let's Organize","Organized Konfusion","HIP HOP",201,99,13
"Quentin Tarantino","RZA","HIP HOP",27,12,11
"Next Level - Nyte Time Mix","Showbiz & A.G.","HIP HOP",128,57,11
"Nothin' But The Cavi Hit","Mack 10","HIP HOP",141,60,39
"The Law (feat. Mac Miller & Rapsody)","Ab-Soul","HIP HOP",292,251,139
"Let Me Blow Ya Mind","Eve","HIP HOP",246,164,74
"Grown Up","Danny Brown","HIP HOP",22,7,6
"Get Me Home","Foxy Brown","HIP HOP",688,266,159
"Scared Money (feat. J. Cole and Moneybagg Yo)","YG","HIP HOP",479,347,310
"For Da Love of Da Game","DJ Jazzy Jeff","HIP HOP",577,198,117
"327 (feat. Tyler, The Creator & Billie Essco)","Westside Gunn","HIP HOP",1111,457,281
"Int'l Players Anthem (I Choose You)","UGK","HIP HOP",521,196,155
"Good Morning (feat. Pusha T, Swizz Beatz & Killer Mike)","Black Thought","HIP HOP",551,423,365
"Road Of The Lonely Ones","Madlib","HIP HOP",63,17,13
"One Way Flight (feat. Freddie Gibbs)","Benny The Butcher","HIP HOP",585,461,246
"Treat 'Em Right","Chubb Rock","HIP HOP",89,47,42
"Hit 'Em Up - Single Version","2Pac","HIP HOP",373,276,189
"P.S.K. 'What Does It Mean'?","Schoolly D","HIP HOP",90,24,22
"Shorty Wanna Ride","Young Buck","HIP HOP",573,246,30
"How Long Will They Mourn Me?","Thug Life","HIP HOP",479,159,81
"All Good","Illa J","HIP HOP",217,83,51
"ARE YOU WITH THAT?","Vince Staples","HIP HOP",440,163,94
"Blow the Whistle","Too $hort","HIP HOP",20,12,12
"Baby Got Back","Sir Mix-A-Lot","HIP HOP",440,167,123
"Carefree","Mick Jenkins","HIP HOP",46,25,13
"We Set The Trends","Jim Jones","HIP HOP",1013,425,236
"Blue Flowers","Dr. Octagon","HIP HOP",138,65,53
"The Breaks","Kurtis Blow","HIP HOP",400,131,69
"Stuntin' Like My Daddy - Street","Birdman","HIP HOP",128,56,40
"Feel It In The Air","Beanie Sigel","HIP HOP",667,249,146
"Yamborghini High (feat. Juicy J)","A$AP Mob","HIP HOP",318,243,153
"2010","Earl Sweatshirt","HIP HOP",9,8,8
"Love Sosa","Chief Keef","HIP HOP",290,139,71
"Scatter Brain (feat. Ludacris & JID)","Conway the Machine","HIP HOP",482,359,327
"White Lines (Don't Do It)","Grandmaster Flash","HIP HOP",502,200,135
"Nobody Move","Paris","HIP HOP",74,41,26
"Leflaur Leflah Eshkoshka","Heltah Skeltah","HIP HOP",597,285,174
"151 Rum","JID","HIP HOP",76,44,23
"U.N.I.T.Y.","Queen Latifah","HIP HOP",834,226,98
"The Jackie (with J. Cole & Lil Tjay)","Bas","HIP HOP",503,343,313
"My Favorite Mutiny","The Coup","HIP HOP",4,3,3
"Poppa Large","Kool Keith","HIP HOP",649,323,229
"Fast Lane","Bad Meets Evil","HIP HOP",779,311,217
"Sabotage","Beastie Boys","HIP HOP",87,23,22
"Whirlwind Thru Cities","Afu-Ra","HIP HOP",76,51,14
"Still Tippin' (feat. Slim Thug and Paul Wall)","Mike Jones","HIP HOP",492,231,127
"Break in the Action","CZARFACE","HIP HOP",28,8,6
"All Night","Big Boi","HIP HOP",213,68,51
"Headshots (4r Da Locals)","Isaiah Rashad","HIP HOP",630,308,110
"See You Again (feat. Charlie Puth)","Wiz Khalifa","HIP HOP",628,942,262
"Rollin' With Kid 'N Play","Kid 'N Play","HIP HOP",173,86,17
"U and Dat (feat. T. Pain & Kandi Girl)","E-40","HIP HOP",137,68,33
"Get Low","Lil Jon & The East Side Boyz","HIP HOP",771,369,71
"The Twist","Fat Boys","HIP HOP",512,177,84
"Lemon","N.E.R.D","HIP HOP",112,56,27
"Like You (feat. Ciara)","Bow Wow","HIP HOP",316,120,48
"Today (feat. Gunna)","Cordae","HIP HOP",338,282,204
"OooWee","Rapsody","HIP HOP",518,179,131
"Planet Rock","Afrika Bambaataa","HIP HOP",684,289,127
"Stay Fly","Three 6 Mafia","HIP HOP",12,5,4
"Santos Party House feat. Big K.R.I.T., Girl Talk","Smoke DZA","HIP HOP",474,344,191
"Beware","Big Sean","HIP HOP",397,129,87
"Work It","Missy Elliott","HIP HOP",655,618,184
"Burbons And Lacs","Master P","HIP HOP",389,209,77
"Cocoa Butter Kisses","Chance the Rapper","HIP HOP",595,256,82
"HUMBLE.","Kendrick Lamar","HIP HOP",444,235,64
"The Official","Jaylib","HIP HOP",110,46,32
"Salt Shaker","Ying Yang Twins","HIP HOP",555,558,91
"Think Twice","Jay Dee","HIP HOP",59,18,13
"In Da Club","50 Cent","HIP HOP",600,216,127
"Ease My Mind - Feat. Tre Hardson, Fat Lip & Omni","Jazz Liberatorz","HIP HOP",296,88,33
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne","HIP HOP",270,204,185
"Okey Dog","Murs","HIP HOP",247,61,9
"1539 N. Calvert","JPEGMAFIA","HIP HOP",449,192,118
"Whenimondamic","Lootpack","HIP HOP",409,220,100
"Space Cadet (feat. Gunna)","Metro Boomin","HIP HOP",302,257,159
"Cold Gettin' Dumb","Just-Ice","HIP HOP",54,26,22
"Lotus Flower Bomb (feat. Miguel)","Wale","HIP HOP",119,43,27
"City High","Inspectah Deck","HIP HOP",239,97,65
"Streiht Up Menace","Compton's Most Wanted","HIP HOP",618,211,129
"The Symphony","Marley Marl","HIP HOP",128,36,24
"Going Bad (feat. Drake)","Meek Mill","HIP HOP",416,360,179
"Crazy Rap (Colt 45 & 2 Zig Zags)","Afroman","HIP HOP",1141,459,264
"Oye Mi Canto","N.O.R.E.","HIP HOP",464,324,153
"Infatuated","Memphis Bleek","HIP HOP",216,52,45
"Suga Suga","Baby Bash","HIP HOP",412,294,88
"Handsome","Dave East","HIP HOP",125,52,46
"Knock Knock","MED","HIP HOP",503,114,76
"Hip-Hop","Dead Prez","HIP HOP",124,71,18
"Jump","Kris Kross","HIP HOP",709,357,90
"Shoop","Salt-N-Pepa","HIP HOP",553,456,148
"No Diggity","Blackstreet","HIP HOP",641,466,111
"Dilemma","Nelly","HIP HOP",357,154,26
"Bounce","Flatbush Zombies","HIP HOP",285,122,105
"Photosynthesis","Saba","HIP HOP",143,19,15
"Everyday Was","Black Milk","HIP HOP",333,126,109
"Mortgage Free (feat. 2 Chainz)","DJ Premier","HIP HOP",580,231,125
"Crew (feat. Brent Faiyaz & Shy Glizzy)","GoldLink","HIP HOP",328,231,206
"Da B Side (feat. The Notorious B.I.G.)","Da Brat","HIP HOP",270,111,65
"Reality Check","Binary Star","HIP HOP",20,5,5
"Pony","Ginuwine","HIP HOP",55,46,18
"REEL IT IN","Aminé","HIP HOP",322,146,77
"Turnin' Me Up","BJ The Chicago Kid","HIP HOP",240,93,25
"Keep Risin' To The Top","Doug E. Fresh","HIP HOP",453,139,105
"Left Me -- Lonely","Mc Shan","HIP HOP",501,141,102
"Wake Up in the Sky","Gucci Mane","HIP HOP",732,260,117
"Till It's Gone","Yelawolf","HIP HOP",126,16,11
"Still Fly","Big Tymers","HIP HOP",656,307,137
"Happiness","The Foreign Exchange","HIP HOP",14,7,7
"Unforgettable","French Montana","HIP HOP",407,110,58
"Bed-Stuy is Burning","Skyzoo","HIP HOP",419,141,36
"U Can't Touch This","MC Hammer","HIP HOP",247,78,44
"Forest Whitiker","Brother Ali","HIP HOP",181,53,22
"When I Come Around","Dom Kennedy","HIP HOP",501,150,109
"Hot Potato","Freestyle Fellowship","HIP HOP",73,33,27
"Got To Have Your Love","Mantronix","HIP HOP",508,146,41
"Like A Pimp","David Banner","HIP HOP",443,182,68
"The Sun God","Hi-Tek","HIP HOP",244,102,91
"Rake It Up (feat. Nicki Minaj)","Yo Gotti","HIP HOP",409,281,243
"Dipset Anthem","The Diplomats","HIP HOP",522,216,127
"Baby (Lil Baby feat. DaBaby)","Quality Control","HIP HOP",366,323,180
"Day One","D.I.T.C.","HIP HOP",308,128,120
"Ramen & OJ","Joyner Lucas","HIP HOP",292,90,77
"Bad Boyz (feat. Barrington Levy)","Shyne","HIP HOP",594,322,187
"What We Do","Freeway","HIP HOP",432,184,126
"HUNNIDDOLLA","MadeinTYO","HIP HOP",3,3,3
"The Way I Are","Timbaland","HIP HOP",95,54,15
"Let's Play House","Tha Dogg Pound","HIP HOP",455,172,100
"None Shall Pass","Aesop Rock","HIP HOP",47,15,13
"Pursuit Of Happiness (Nightmare)","Kid Cudi","HIP HOP",48,21,17
"What's Up Fatlip","Fatlip","HIP HOP",46,16,12
"O Heaven","Blu & Exile","HIP HOP",52,29,15
"Thug","Slim Thug","HIP HOP",68,24,4
"Plug Walk","Rich The Kid","HIP HOP",447,203,73
"Fuck Compton","Tim Dog","HIP HOP",315,131,82
"Leaving the Past","Immortal Technique","HIP HOP",4,3,3
"Yacht Club (feat. Juice WRLD)","Lil Yachty","HIP HOP",290,249,133
"Cinderfella Dana Dane","Dana Dane","HIP HOP",112,67,7
"Reborn","KIDS SEE GHOSTS","HIP HOP",273,98,27
"SUGAR","BROCKHAMPTON","HIP HOP",65,25,4
"G'd Up","Tha Eastsidaz","HIP HOP",646,303,199
"Ric Flair Drip (with Metro Boomin)","Offset","HIP HOP",112,90,83
"Solid (feat. Drake)","Young Stoner Life","HIP HOP",482,359,327
"I Got Five On It Remix","Spice 1","HIP HOP",803,294,226
"Money Ain't a Thang (feat. Jay-Z)","Jermaine Dupri","HIP HOP",712,482,298
"No Role Modelz","J. Cole","HIP HOP",245,106,53
"Redbone","Childish Gambino","HIP HOP",123,61,17
"ONCE UPON A TIME (FREESTYLE)","IDK","HIP HOP",274,103,83
"POPSTAR (feat. Drake)","DJ Khaled","HIP HOP",517,830,248
"On & On","Erykah Badu","HIP HOP",172,39,32
"Get Money","Junior M.A.F.I.A.","HIP HOP",445,240,111
"My Moment (feat. 2 Chainz, Meek Mill and Jeremih)","DJ Drama","HIP HOP",543,213,107
"Trophies","Young Money","HIP HOP",517,415,248
"1-800-273-8255","Logic","HIP HOP",256,86,31
"Nutshell Pt. 2 (feat. Busta Rhymes and Redman)","Phife Dawg","HIP HOP",479,236,162
"Love Like This","Faith Evans","HIP HOP",326,116,14
"Show Stop","REASON","HIP HOP",475,248,86
"Lynguistics [Deluxe Edition]","Cunninlynguists","HIP HOP",290,138,121
"Keep Your Worries","Guru's Jazzmatazz","HIP HOP",49,39,18
"Hypnotized (feat. Akon)","Plies","HIP HOP",484,184,94
"Can't You See (feat. The Notorious B.I.G.)","Total","HIP HOP",712,482,298
"Valuable Lessons","Cormega","HIP HOP",32,14,8
"Reverse (feat. G-Eazy)","VIC MENSA","HIP HOP",473,344,312
"Sam (Is Dead) (feat. Domo Genesis & Tyler, The Creator)","Odd Future","HIP HOP",201,98,55
"Outside","Kota the Friend","HIP HOP",219,77,52
"NEW MAGIC WAND","Tyler, The Creator","HIP HOP",445,148,89
"Bubbly (with Drake & Travis Scott)","Young Thug","HIP HOP",342,291,206
"Three Man Weave","Injury Reserve","HIP HOP",251,98,29
"Airplanes (feat. Hayley Williams of Paramore)","B.o.B","HIP HOP",173,100,13
"Too Close","Next","HIP HOP",243,60,30
"A Little Samba","Ugly Duckling","HIP HOP",483,143,111
"Played Like A Piano","King Tee","HIP HOP",399,146,112
"Sameolemeek","Knxwledge","HIP HOP",7,5,5
"family ties (with Kendrick Lamar)","Baby Keem","HIP HOP",338,282,204
"On And On","Shyheim","HIP HOP",74,27,9
"Six Days - Remix","DJ Shadow","HIP HOP",270,203,181
"Let Go","Aaron May","HIP HOP",457,153,93
"Get Throwed","Bun B","HIP HOP",428,214,102
"Champion (feat. Travis Scott)","NAV","HIP HOP",400,350,181
"No Scrubs","TLC","HIP HOP",224,114,23
"The Streets - Re-Twist","WC","HIP HOP",435,206,86
"Hell Shell","Young Nudy","HIP HOP",495,202,67
"GED (Gettin Every Dolla)","Lute","HIP HOP",285,98,82
"Broadway Girls (feat. Morgan Wallen)","Lil Durk","HIP HOP",474,353,317
"Diddy Bop (feat. Cam O'bi & Raury)","Noname","HIP HOP",318,243,153
"Blame It","Jamie Foxx","HIP HOP",453,139,79
"There It Go (The Whistle Song)","Juelz Santana","HIP HOP",156,48,31
"Miami","Will Smith","HIP HOP",11,6,6
"Doobie Ashtray","Devin The Dude","HIP HOP",180,76,40
"Weak","SWV","HIP HOP",400,254,30
"We Ball","Ace Hood","HIP HOP",5,3,3
"Dapper (feat. Anderson .Paak)","Domo Genesis","HIP HOP",266,196,170
"All I Know","Rahzel","HIP HOP",508,208,191
"The Boy Is Mine","Brandy","HIP HOP",690,306,58
"Bust A Move","Young MC","HIP HOP",99,19,7
"Lady","D'Angelo","HIP HOP",470,154,39
"Suede","NxWorries","HIP HOP",361,123,99
"Buy U a Drank (Shawty Snappin') (feat. Yung Joc)","T-Pain","HIP HOP",174,186,42
"Lost","Frank Ocean","HIP HOP",230,78,49
"Shawty Is Da Shit","The-Dream","HIP HOP",498,416,75
"Ruff Ryders Anthem","DJ Clue","HIP HOP",930,392,250
"This Is How We Do It","Montell Jordan","HIP HOP",440,101,62
"Saint","Huncho Jack","HIP HOP",366,180,95
"Pump It Up","Joe Budden","HIP HOP",356,139,71
"Money On My Mind","Daz Dillinger","HIP HOP",521,175,128
"Grind With Me","Pretty Ricky","HIP HOP",293,282,83
"This Could Be Us","Rae Sremmurd","HIP HOP",471,144,52
"Freek'n You","Jodeci","HIP HOP",339,71,19
"Coastin'","Zion I","HIP HOP",438,198,121
"Mop Wit It","Boosie Badazz","HIP HOP",670,315,127
"Golden","Jill Scott","HIP HOP",54,34,5
"Shooters Inside My Crib","Quavo","HIP HOP",412,182,69
"Drankin N Smokin","Future","HIP HOP",176,57,41
"ooh la la (feat. Greg Nice & DJ Premier)","Run The Jewels","HIP HOP",373,279,256
"Light One Write One","Elzhi","HIP HOP",59,28,26
"Poison","Bell Biv DeVoe","HIP HOP",299,101,67
"Comfortable","K CAMP","HIP HOP",26,7,5
"I Wish","Skee-Lo","HIP HOP",3,1,1
"Walk It Talk It","Migos","HIP HOP",1189,494,172
"Don't Come Easy","Raheem DeVaughn","HIP HOP",320,170,42
"Let's Chill","Guy","HIP HOP",239,46,15
"Know the Time","Apollo Brown","HIP HOP",336,181,155
"Doorman","slowthai","HIP HOP",98,29,27
"Say Yes","Floetry","HIP HOP",53,12,9
"Wild Thing","Tone-Loc","HIP HOP",26,14,13
"Sittin' Sidewayz (feat. Big Pokey)","Paul Wall","HIP HOP",31,19,10
"You Should've Known","Hopsin","HIP HOP",689,243,161
"Ruthless For Life","MC Ren","HIP HOP",70,25,8
"Bump, Bump, Bump (feat. P. Diddy)","B2K","HIP HOP",769,508,103
"No Hands (feat. Roscoe Dash & Wale)","Waka Flocka Flame","HIP HOP",296,121,71
"OG","Joell Ortiz","HIP HOP",69,16,15
"The Spins","Mac Miller","HIP HOP",302,107,76
"Masta I.C.","Mic Geronimo","HIP HOP",76,23,9
"How Deep Is Your Love","Dru Hill","HIP HOP",457,89,22
"From The D To The A (feat. Lil Yachty)","Tee Grizzley","HIP HOP",308,235,198
"Thong Song","Sisqo","HIP HOP",884,482,58
"Peach","Kevin Abstract","HIP HOP",62,19,7
"Get Got","Death Grips","HIP HOP",61,33,18
"Why U Bullshittin'?","Suga Free","HIP HOP",950,354,216
"Whoa!","Black Rob","HIP HOP",54,24,18
"Time Today","Moneybagg Yo","HIP HOP",609,186,133
"Don't Let Go (Love)","En Vogue","HIP HOP",290,116,20
"1 Scale (feat. G Herbo)","Young Dolph","HIP HOP",384,263,153
"Guerillas in Tha Mist","Da Lench Mob","HIP HOP",207,107,72
"Taste (feat. Offset)","Tyga","HIP HOP",505,760,325
"Foolish","Ashanti","HIP HOP",514,202,50
"Oops (Oh My) [feat. Missy Elliott]","Tweet","HIP HOP",213,73,30
"Soul Sista","Bilal","HIP HOP",264,126,16
"Face Off","Tech N9ne","HIP HOP",678,255,194
"Without Me","Eminem","HIP HOP",604,231,168
"Freedom Form Flowing","Gift Of Gab","HIP HOP",761,341,277
"Faded Pictures","Case","HIP HOP",308,132,47
"Dip It Low - Feat. Fabolous","Christina Milian","HIP HOP",322,188,20
"Super Gremlin","Kodak Black","HIP HOP",148,56,38
"Top Billin - Acapella","Audio Two","HIP HOP",46,20,20
"Underrated","Papoose","HIP HOP",481,192,171
"That's On Me","Yella Beezy","HIP HOP",298,131,53
"fafo","Zack Fox","HIP HOP",460,208,135
"Love That Girl","Raphael Saadiq","HIP HOP",195,71,18
"Every Little Step","Bobby Brown","HIP HOP",49,9,4
"1 Thing","Amerie","HIP HOP",601,212,17
"It's So Easy","Phonte","HIP HOP",269,135,16
"Let You Down","NF","HIP HOP",22,4,3
"Design in Malice","Jedi Mind Tricks","HIP HOP",169,51,47
"Gang Shit No Lame Shit","Key Glock","HIP HOP",352,171,100
"How You Gonna Act Like That","Tyrese","HIP HOP",582,174,66
"Flex (Ooh, Ooh, Ooh)","Rich Homie Quan","HIP HOP",353,111,80
"23","Mike WiLL Made-It","HIP HOP",40,15,5
"Feels So Good","Remy Ma","HIP HOP",318,62,12
"Tied Up (feat. DeJ Loaf)","Casey Veggies","HIP HOP",228,30,10
"Time Moves Slow","BADBADNOTGOOD","HIP HOP",32,16,5
"Shit I'm On","DJ Muggs","HIP HOP",211,97,71
"Start a Riot","Duckwrth","HIP HOP",511,198,81
"Dead Man Walking","Brent Faiyaz","HIP HOP",386,156,83
"Gotta Be Dope","R.A. The Rugged Man","HIP HOP",64,28,10
"Slow Down - 12"" Version","Bobby V.","HIP HOP",156,45,24
"Drama Setter","Tony Yayo","HIP HOP",275,139,119
"Black Love","Salaam Remi","HIP HOP",367,112,37
"Knife Talk (with 21 Savage ft. Project Pat)","Drake","HIP HOP",379,311,218
"Smile (Living My Best Life) (feat. Snoop Dogg, Ball Greezy & Midnight Star)","Lil Duval","HIP HOP",369,151,65
"Shimmy Shimmy Ya","Ol' Dirty Bastard","HIP HOP",412,186,91
"Bring The Pain","Method Man","HIP HOP",185,85,62
"Twinz (Deep Cover 98) (feat. Fat Joe)","Big Pun","HIP HOP",594,387,283
"Guillotine (Swordz) (feat. Ghostface Killah, Inspectah Deck & GZA (Genius))","Raekwon","HIP HOP",152,83,73
"Survival of the Fittest","Mobb Deep","HIP HOP",198,95,25
"Make Me Better","Fabolous","HIP HOP",552,126,56
"Bucktown","Smif-N-Wessun","HIP HOP",283,182,51
"I Need a Girl (Pt. 1) [feat. Usher & Loon]","Diddy","HIP HOP",623,438,61
"X","Xzibit","HIP HOP",780,297,213
"Pick Up The Pace","Big K.R.I.T.","HIP HOP",205,97,14
"Empire State Of Mind","JAY-Z","HIP HOP",468,186,88
"The LP","Large Professor","HIP HOP",196,61,57
"The Formula","The D.O.C.","HIP HOP",95,29,29
"I'm a Thug","Trick Daddy","HIP HOP",197,62,45
"You Can't Hide, You Can't Run","Dilated Peoples","HIP HOP",82,27,14
"Terror","Masta Ace Incorporated","HIP HOP",189,48,39
"Whatever You Like","T.I.","HIP HOP",324,182,25
"Move Somethin'","Reflection Eternal","HIP HOP",181,110,73
"Me So Horny","2 LIVE CREW","HIP HOP",10,7,5
"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)","Dreamville","HIP HOP",464,337,305
"Sundress","A$AP Rocky","HIP HOP",306,165,61
"Walkin","Denzel Curry","HIP HOP",361,174,94
"Pop That Trunk","Juicy J","HIP HOP",574,260,76
"That's Love Ft. Mac Miller & Heather Victoria","9th Wonder","HIP HOP",145,51,36
"All Eyes On Me","EARTHGANG","HIP HOP",229,96,60
"M.O.M","Spillage Village","HIP HOP",164,68,16
"Meet Again","Maxo Kream","HIP HOP",98,30,26
"Airplanes (Freestyle)","Royce Da 5'9""","HIP HOP",462,174,148
"Baba O'Riley","The Who","ROCK",4,3,3
"More Than a Feeling","Boston","ROCK",131,43,12
"Stairway to Heaven - Remaster","Led Zeppelin","ROCK",447,186,150
"(Don't Fear) The Reaper","Blue Öyster Cult","ROCK",201,79,25
"The Joker","Steve Miller Band","ROCK",40,17,13
"American Girl","Tom Petty and the Heartbreakers","ROCK",112,41,28
"Hard To Handle","The Black Crowes","ROCK",59,28,21
"Drive - 2017 Remaster","The Cars","ROCK",454,284,211
"Black Hole Sun","Soundgarden","ROCK",151,69,7
"Sunshine Of Your Love","Cream","ROCK",35,12,7
"The Boys Are Back In Town","Thin Lizzy","ROCK",89,30,8
"Seven Nation Army","The White Stripes","ROCK",4,3,3
"Free Fallin'","Tom Petty","ROCK",168,77,5
"I Want You to Want Me","Cheap Trick","ROCK",33,6,5
"Poison","Alice Cooper","ROCK",289,113,32
"Paranoid","Black Sabbath","ROCK",56,16,16
"She Sells Sanctuary","The Cult","ROCK",85,60,8
"Sweet Home Alabama","Lynyrd Skynyrd","ROCK",182,84,39
"Crazy Train","Ozzy Osbourne","ROCK",61,29,9
"Alone","Heart","ROCK",16,2,2
"All Along the Watchtower","Jimi Hendrix","ROCK",13,4,3
"Tom Sawyer","Rush","ROCK",30,12,10
"You Ain't Seen Nothing Yet","Bachman-Turner Overdrive","ROCK",130,30,15
"Life's Been Good","Joe Walsh","ROCK",92,28,18
"Stranglehold","Ted Nugent","ROCK",29,9,8
"Every Breath You Take","The Police","ROCK",175,64,20
"The Stroke - Remastered","Billy Squier","ROCK",289,94,52
"Show Me The Way","Peter Frampton","ROCK",35,7,4
"Rebel Yell","Billy Idol","ROCK",27,10,8
"Losing My Religion","R.E.M.","ROCK",26,9,6
"You Really Got Me - Mono Mix","The Kinks","ROCK",472,138,53
"Like a Stone","Audioslave","ROCK",32,8,6
"No One Knows","Queens of the Stone Age","ROCK",86,67,50
"Bad To The Bone","George Thorogood & The Destroyers","ROCK",5,3,3
"Centerfold","The J. Geils Band","ROCK",284,210,17
"Midnight Rider","Allman Brothers Band","ROCK",61,27,7
"Steady, As She Goes","The Raconteurs","ROCK",198,57,10
"I'll Stand by You","Pretenders","ROCK",121,29,10
"Jack & Diane","John Mellencamp","ROCK",18,9,7
"Listen to the Music","The Doobie Brothers","ROCK",150,46,6
"Born To Be Wild","Steppenwolf","ROCK",35,16,10
"Ooh La La","Faces","ROCK",30,5,4
"Take Me Home Tonight","Eddie Money","ROCK",66,31,18
"Renegade","Styx","ROCK",88,24,21
"Since You Been Gone","Rainbow","ROCK",41,4,3
"Slither","Velvet Revolver","ROCK",12,12,4
"Man in the Box","Alice In Chains","ROCK",89,41,13
"Dust in the Wind","Kansas","ROCK",43,16,4
"Joker And The Thief","Wolfmother","ROCK",67,21,10
"No Rain","Blind Melon","ROCK",190,28,12
"American Woman","The Guess Who","ROCK",93,37,11
"Old Time Rock & Roll","Bob Seger","ROCK",167,63,11
"Heavy Metal","Sammy Hagar","ROCK",35,19,11
"Breaking the Law","Judas Priest","ROCK",28,19,4
"The Boys Of Summer","Don Henley","ROCK",46,16,14
"Riders on the Storm","The Doors","ROCK",21,11,4
"Jane Says","Jane's Addiction","ROCK",101,31,17
"Everlong","Foo Fighters","ROCK",39,8,8
"Holy Diver","Dio","ROCK",51,30,14
"Cum on Feel the Noize","Quiet Riot","ROCK",92,55,15
"Ace of Spades","Motörhead","ROCK",12,7,4
"Get It On","T. Rex","ROCK",345,109,40
"Slow Ride","Foghat","ROCK",6,6,4
"Killing In The Name","Rage Against The Machine","ROCK",295,52,9
"Easy","Faith No More","ROCK",80,47,8
"Layla","Derek & The Dominos","ROCK",2,2,2
"The Weight - Remastered 2000","The Band","ROCK",673,451,374
"Turn! Turn! Turn! (To Everything There Is a Season)","The Byrds","ROCK",125,34,14
"The Power Of Love","Huey Lewis & The News","ROCK",78,34,17
"Paint It, Black","The Rolling Stones","ROCK",37,21,11
"18 and Life","Skid Row","ROCK",7,6,5
"Lonely Boy","The Black Keys","ROCK",48,15,7
"Hold On Loosely","38 Special","ROCK",74,33,10
"I Was Made For Lovin' You","KISS","ROCK",14,4,4
"All Right Now","Free","ROCK",323,83,35
"Pale Blue Eyes","The Velvet Underground","ROCK",16,12,6
"New Fang","Them Crooked Vultures","ROCK",49,19,9
"Shine","Collective Soul","ROCK",60,36,9
"Dirty Work","Steely Dan","ROCK",24,8,6
"Joy To The World","Three Dog Night","ROCK",269,118,30
"Can't Fight This Feeling","REO Speedwagon","ROCK",76,31,21
"Heart Of Gold","Neil Young","ROCK",39,14,7
"Jerry Was A Race Car Driver","Primus","ROCK",33,17,13
"Kickstart My Heart","Mötley Crüe","ROCK",7,5,4
"Helplessly Hoping","Crosby, Stills & Nash","ROCK",20,5,5
"Our House","Crosby, Stills, Nash & Young","ROCK",52,18,14
"We're Not Gonna Take It","Twisted Sister","ROCK",160,42,16
"Symphony Of Destruction","Megadeth","ROCK",46,24,12
"Going Up The Country","Canned Heat","ROCK",27,7,7
"Anastasia","Slash","ROCK",2,2,2
"Have You Ever Seen The Rain","Creedence Clearwater Revival","ROCK",33,7,5
"Don't Stop Believin'","Journey","ROCK",35,21,9
"Sweet Child O' Mine","Guns N' Roses","ROCK",163,42,22
"Figure It Out","Royal Blood","ROCK",82,16,13
"Love Song","Tesla","ROCK",205,57,24
"Loser","Beck","ROCK",172,65,28
"Addicted To Love","Robert Palmer","ROCK",84,19,4
"Don't Know What You Got (Till It's Gone)","Cinderella","ROCK",314,57,34
"Hit Me With Your Best Shot","Pat Benatar","ROCK",31,11,5
"Walk","Pantera","ROCK",37,16,6
"Runnin' Wild","Airbourne","ROCK",407,164,45
"House Of The Rising Sun","The Animals","ROCK",169,54,35
"Pride and Joy","Stevie Ray Vaughan","ROCK",28,10,7
"Once Bitten Twice Shy","Great White","ROCK",21,11,4
"Common People","Pulp","ROCK",77,54,8
"Island In The Sun","Weezer","ROCK",39,25,8
"Working for the Weekend","Loverboy","ROCK",58,21,15
"Just Between You And Me","April Wine","ROCK",211,48,32
"Mr. Blue Sky","Electric Light Orchestra","ROCK",165,35,9
"Sultans Of Swing","Dire Straits","ROCK",4,3,3
"Patience","Chris Cornell","ROCK",39,10,7
"Love Hurts","Nazareth","ROCK",38,21,8
"Give A Little Bit","Supertramp","ROCK",136,45,24
"Fire","Kasabian","ROCK",142,43,18
"Stillborn","Black Label Society","ROCK",34,11,5
"Round and Round","Ratt","ROCK",40,14,5
"Hunger Strike","Temple Of The Dog","ROCK",141,74,30
"Santa Monica","Everclear","ROCK",22,13,13
"Back In Black","AC/DC","ROCK",40,4,3
"Lay It on the Line","Triumph","ROCK",176,53,31
"White Rabbit","Jefferson Airplane","ROCK",38,21,18
"Never Tear Us Apart","INXS","ROCK",12,4,4
"Season of the Witch","Donovan","ROCK",5,3,3
"Hotel California - 2013 Remaster","Eagles","ROCK",249,241,173
"The Passenger","Iggy Pop","ROCK",57,56,5
"Take Me Out","Franz Ferdinand","ROCK",80,10,3
